Academic Year,Engineering_Other
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Engineering
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
21-22,Other
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Engineering
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
20-21,Other
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Engineering
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
19-20,Other
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Engineering
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
18-19,Other
17-18,Other
17-18,Engineering
17-18,Engineering
17-18,Engineering
17-18,Engineering
