Code,Course_Number,Course_Name,Instructor_Last_Name,Scheduled_Date,Year,Season,Fiscal_Year,Min
EES,,Summer Researchers Brown Bag,,2021-07-12T00:00:00,2021,Fall,22,60
CHEM,,CHEM Graduate Orientation,,2021-08-09T00:00:00,2021,Fall,22,19.8
BSCI,,BSCI Graduate Orientation,,2021-08-16T00:00:00,2021,Fall,22,19.8
BME,,BME Graduate Orientation,,2021-08-17T00:00:00,2021,Fall,22,19.8
CHBE,,CHBE Graduate Orientation,,2021-08-20T00:00:00,2021,Fall,22,180
PHYS,,PHYS Graduate Orientation,,2021-08-20T00:00:00,2021,Fall,22,15
MSE,,Interdicinplinary Material Science Orientation,,2021-08-23T00:00:00,2021,Fall,22,30
CS,,CS Orientation,,2021-08-24T00:00:00,2021,Fall,22,30
HONS,1850,Nanoscience & Nanotechnology,Pantelides,2021-08-25T00:00:00,2021,Fall,22,4.98
ENGM,2210,Technology Strategy,Rowe,2021-08-30T00:00:00,2021,Fall,22,30
ENGM,2210,Technology Strategy,Kostoulas,2021-08-31T00:00:00,2021,Fall,22,60
CHEM,1111,Chem Neuropsych Disorder,Rosenthal,2021-08-31T00:00:00,2021,Fall,22,75
PHYS,1111,Science and Politics,Haglund,2021-09-02T00:00:00,2021,Fall,22,75
ENVE,8900,Research Methods Seminar,Kosson,2021-09-03T00:00:00,2021,Fall,22,75
BME,8901,Advanced Functional Biomateria,Giorgio,2021-09-07T00:00:00,2021,Fall,22,60
CHBE,4950,Chemical Engineering Process and Product Design,Dunn,2021-09-09T13:10:00,2021,Fall,22,90
CHBE,4950,Chemical Engineering Process and Product Design,Dunn,2021-09-09T15:10:00,2021,Fall,22,30
CHEM,6900,Professional Development,Cliffel,2021-09-10T11:30:00,2021,Fall,22,75
CE,4950,Civil Engineering Design I,Troxel,2021-09-13T17:20:00,2021,Fall,22,75
EES,4996,Senior Honors Seminar I,Ayers,2021-09-14T16:10:00,2021,Fall,22,60
ENGR,4959,Senior Design Seminar,Withrow,2021-09-15T00:00:00,2021,Fall,22,60
BME,4950,Design of Biomedical Engineering Devices and Systems I,Moore,2021-09-16T11:10:00,2021,Fall,22,60
